session_id,speaker_id,utterance,emo_indx,dailydialog_DA,swda,swda_indx,emo,prev_swda,next_swda,prev_emo,next_emo,prev_swda_indx,next_swda_indx,prev_emo_indx,next_emo_indx
40,A,We are out at the moment .,0,3,no,28,no emotion,qy,qy,no emotion,no emotion,6,6,0,0
40,A,May I suggest some rye bread ?,0,3,qy,6,no emotion,no,ba,no emotion,happiness,28,5,0,4
40,B,Sure that sounds good .,4,2,ba,5,happiness,qy,qy,no emotion,happiness,6,6,0,4
40,B,Do you have any cakes ?,4,2,qy,6,happiness,ba,sd,happiness,no emotion,5,0,4,0
40,A,We have various birthday cakes and also ice cream cakes .,0,1,sd,0,no emotion,qy,sd,happiness,no emotion,6,0,4,0
40,B,I'll just take a cheesecake .,0,3,sd,0,no emotion,sd,qy,no emotion,no emotion,0,6,0,0
40,A,Will that be all ?,0,2,qy,6,no emotion,sd,ny,no emotion,no emotion,0,7,0,0
40,B,Yes .,0,1,ny,7,no emotion,qy,sd,no emotion,no emotion,6,0,0,0
40,A,Your total is forty three dollars and twenty cents .,0,4,sd,0,no emotion,ny,fp,no emotion,no emotion,7,29,0,0
43,A,"Hello Mrs Parker , how have you been ?",0,2,fp,29,no emotion,sd,fp,no emotion,happiness,0,29,0,4
43,B,Hello Dr Peters .,4,1,fp,29,happiness,fp,fp,no emotion,happiness,29,29,0,4
43,B,Just fine thank you .,4,1,fp,29,happiness,fp,sd,happiness,happiness,29,0,4,4
43,B,Ricky and I are here for his vaccines .,4,1,sd,0,happiness,fp,b,happiness,no emotion,29,1,4,0
43,A,Very well .,0,1,b,1,no emotion,sd,sd,happiness,no emotion,0,0,4,0
43,A,"Let's see , according to his vaccination record , Ricky has received his Polio , Tetanus and Hepatitis B shots .",0,1,sd,0,no emotion,b,sd,no emotion,no emotion,1,0,0,0
43,A,"He is 14 months old , so he is due for Hepatitis A , Chickenpox and Measles shots .",0,1,sd,0,no emotion,sd,qo,no emotion,no emotion,0,22,0,0
43,B,What about Rubella and Mumps ?,0,2,qo,22,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
43,A,"Well , I can only give him these for now , and after a couple of weeks I can administer the rest .",0,1,sd,0,no emotion,qo,ba,no emotion,happiness,22,5,0,4
43,B,"OK , great .",4,1,ba,5,happiness,sd,sv,no emotion,happiness,0,2,0,4
43,B,"Doctor , I think I also may need a Tetanus booster .",4,1,sv,2,happiness,ba,sd,happiness,happiness,5,0,4,4
43,B,Last time I got it was maybe fifteen years ago !,4,1,sd,0,happiness,sv,sd,happiness,no emotion,2,0,4,0
43,A,We will check our records and I'll have the nurse administer and the booster as well .,0,3,sd,0,no emotion,sd,ad,happiness,no emotion,0,19,4,0
43,A,"Now , please hold Ricky's arm tight , this may sting a little .",0,3,ad,19,no emotion,sd,sd,no emotion,surprise,0,0,0,6
55,A,"Kate , you never believe what's happened .",6,1,sd,0,surprise,ad,br,no emotion,no emotion,19,27,0,0
55,B,What do you mean ?,0,3,br,27,no emotion,sd,sd,surprise,no emotion,0,0,6,0
55,A,Masha and Hero are getting divorced .,0,4,sd,0,no emotion,br,ba,no emotion,surprise,27,5,0,6
55,B,You are kidding .,6,2,ba,5,surprise,sd,br,no emotion,surprise,0,27,0,6
55,B,What happened ?,6,2,br,27,surprise,ba,sd,surprise,no emotion,5,0,6,0
55,A,"Well , I don't really know , but I heard that they are having a separation for 2 months , and filed for divorce .",0,1,sd,0,no emotion,br,sv,surprise,surprise,27,2,6,6
55,B,That's really surprising .,6,2,sv,2,surprise,sd,sd,no emotion,surprise,0,0,0,6
55,B,I always thought they are well matched .,6,2,sd,0,surprise,sv,qw,surprise,surprise,2,9,6,6
55,B,What about the kids ?,6,2,qw,9,surprise,sd,qw,surprise,surprise,0,9,6,6
55,B,Who get custody ?,6,2,qw,9,surprise,qw,sd,surprise,no emotion,9,0,6,0
55,A,"Masha , it seems quiet and makable , no quarrelling about who get the house and stock and then contesting the divorce with other details worked out .",0,1,sd,0,no emotion,qw,sd,surprise,no emotion,9,0,6,0
55,B,That's the change from all the back stepping we usually hear about .,0,2,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
55,B,"Well , I still can't believe it , Masha and Hero , the perfect couple .",0,2,sd,0,no emotion,sd,qw,no emotion,no emotion,0,9,0,0
55,B,When would they divorce be final ?,0,2,qw,9,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
55,A,Early in the New Year I guess .,0,1,sd,0,no emotion,qw,fp,no emotion,no emotion,9,29,0,0
74,A,Hello .,0,3,fp,29,no emotion,sd,fp,no emotion,no emotion,0,29,0,0
74,A,"May I speak to Jerry , please ?",0,3,fp,29,no emotion,fp,sd,no emotion,sadness,29,0,0,5
74,B,"Sorry , but he is out for lunch right now .",5,4,sd,0,sadness,fp,bk,no emotion,no emotion,29,11,0,0
74,A,I see .,0,3,bk,11,no emotion,sd,qy,sadness,no emotion,0,6,5,0
74,A,Can you give me some idea how long he'll be back ?,0,3,qy,6,no emotion,bk,sv,no emotion,no emotion,11,2,0,0
74,B,I think he will be back around 2:00 .,0,4,sv,2,no emotion,qy,sd,no emotion,no emotion,6,0,0,0
74,B,"If you like , please leave your name and phone number , I'll have him call you as soon as he comes back .",0,4,sd,0,no emotion,sv,ba,no emotion,happiness,2,5,0,4
74,A,That's nice .,4,1,ba,5,happiness,sd,sd,no emotion,happiness,0,0,0,4
74,A,"My name is Steven , my phone number is 6789777 .",4,1,sd,0,happiness,ba,sd,happiness,happiness,5,0,4,4
74,A,"Okay , I'll be waiting for his call .",4,1,sd,0,happiness,sd,ft,happiness,happiness,0,40,4,4
74,A,Thank you and bye !,4,1,ft,40,happiness,sd,fp,happiness,happiness,0,29,4,4
74,B,"My pleasure , bye !",4,1,fp,29,happiness,ft,qw,happiness,anger,40,9,4,1
76,A,What are we going to do ?,1,2,qw,9,anger,fp,sd,happiness,anger,29,0,4,1
76,A,I can't get the car out of this ditch .,1,2,sd,0,anger,qw,sd,anger,anger,9,0,1,1
76,A,I'm stuck !,1,2,sd,0,anger,sd,sd,anger,no emotion,0,0,1,0
76,B,"I'm worried , Tom .",0,1,sd,0,no emotion,sd,sd,anger,no emotion,0,0,1,0
76,B,I haven't seen any other cars for almost an hour .,0,1,sd,0,no emotion,sd,ba,no emotion,anger,0,5,0,1
76,A,I know .,1,2,ba,5,anger,sd,ba,no emotion,anger,0,5,0,1
76,A,This is terrible .,1,2,ba,5,anger,ba,qw,anger,anger,5,9,1,1
76,A,What can we do ?,1,2,qw,9,anger,ba,sd,anger,anger,5,0,1,1
76,A,This snow doesn't stop falling !,1,2,sd,0,anger,qw,qw^d,anger,no emotion,9,38,1,0
76,B,I told you we should have stayed in town today.The weather report said 100 percent chance of snow.Why did you want to come up here ?,0,2,qw^d,38,no emotion,sd,sd,anger,no emotion,0,0,1,0
76,A,I wanted to show you the cabin .,0,1,sd,0,no emotion,qw^d,sd,no emotion,no emotion,38,0,0,0
76,A,We only had another half-hour to go .,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
76,B,"Well , now we're stuck .",0,2,sd,0,no emotion,sd,qw,no emotion,no emotion,0,9,0,0
76,B,What can we do ?,0,2,qw,9,no emotion,sd,no,no emotion,no emotion,0,28,0,0
76,A,I don't know .,0,1,no,28,no emotion,qw,sd,no emotion,no emotion,9,0,0,0
76,B,"I've heard that when this happens , it's important to save energy .",0,1,sd,0,no emotion,no,qo,no emotion,no emotion,28,22,0,0
76,A,What do you mean ?,0,2,qo,22,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
76,B,"We're stranded here , Tom .",0,1,sd,0,no emotion,qo,sd,no emotion,no emotion,22,0,0,0
76,B,We may be here a long time.We need to conserve the gas in the car .,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
76,B,The car's energy is what will keep us warm .,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
76,A,I have plenty of gas .,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
76,B,"Yes , but the gas and the battery both have to stay working.We can't just let the car run and run.If we do , it will die soon .",0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
76,B,Then we'll freeze .,0,1,sd,0,no emotion,sd,qw,no emotion,no emotion,0,9,0,0
76,A,So what can we do ?,0,2,qw,9,no emotion,sd,ad,no emotion,no emotion,0,19,0,0
76,B,"Turn the lights off.Then , run the car and the heater only about fifteen minutes every hour.That will conserve the heat as long as possible .",0,3,ad,19,no emotion,qw,ba,no emotion,happiness,9,5,0,4
76,A,Alright .,4,4,ba,5,happiness,ad,ba,no emotion,happiness,19,5,0,4
76,A,That's a good idea .,4,4,ba,5,happiness,ba,sd,happiness,no emotion,5,0,4,0
76,B,I wish we hadn't come up here .,0,1,sd,0,no emotion,ba,sd,happiness,no emotion,5,0,4,0
76,B,Now we'll probably be here for days .,0,1,sd,0,no emotion,sd,bh,no emotion,no emotion,0,14,0,0
76,A,Days ?,0,2,bh,14,no emotion,sd,na,no emotion,no emotion,0,18,0,0
76,B,"Yes , it happens.That is what happens in big snowstorms .",0,1,na,18,no emotion,bh,sd,no emotion,no emotion,14,0,0,0
76,B,People get stranded for days .,0,1,sd,0,no emotion,na,ba,no emotion,surprise,18,5,0,6
76,A,"Oh , my God !",6,1,ba,5,surprise,sd,sd,no emotion,surprise,0,0,0,6
76,A,It's good we have food .,6,1,sd,0,surprise,ba,sd,surprise,no emotion,5,0,6,0
76,B,Probably we'll survive.But turn the car off for about forty-five minutes .,0,1,sd,0,no emotion,sd,sd,surprise,no emotion,0,0,6,0
76,B,Then we'll turn it on again .,0,1,sd,0,no emotion,sd,sd,no emotion,anger,0,0,0,1
86,A,We have been over this a hundred times !,1,3,sd,0,anger,sd,sd,no emotion,anger,0,0,0,1
86,A,We are not getting a pet !,1,3,sd,0,anger,sd,qh,anger,anger,0,23,1,1
86,B,Why not ?,1,4,qh,23,anger,sd,"fo_o_fw_""_by_bc",anger,anger,0,17,1,1
86,B,Come on !,1,4,"fo_o_fw_""_by_bc",17,anger,qh,"fo_o_fw_""_by_bc",anger,anger,23,17,1,1
86,B,Just a cute little puppy or a kitty !,1,4,"fo_o_fw_""_by_bc",17,anger,"fo_o_fw_""_by_bc",qw,anger,no emotion,17,9,1,0
86,A,Who is going to look after a dog or a cat ?,0,2,qw,9,no emotion,"fo_o_fw_""_by_bc","fo_o_fw_""_by_bc",anger,anger,17,17,1,1
86,B,I will !,1,1,"fo_o_fw_""_by_bc",17,anger,qw,sd,no emotion,anger,9,0,0,1
86,B,"I'll feed it , bathe it and walk it every day !",1,1,sd,0,anger,"fo_o_fw_""_by_bc",ad,anger,anger,17,19,1,1
86,B,We can get a Labrador or a German Shepard !,1,1,ad,19,anger,sd,qw,anger,no emotion,0,9,1,0
86,A,What if we want to take a vacation ?,0,2,qw,9,no emotion,ad,qw,anger,no emotion,19,9,1,0
86,A,Who will we leave it with ?,0,2,qw,9,no emotion,qw,sd,no emotion,no emotion,9,0,0,0
86,A,"Plus , our apartment is too small for that breed of dog .",0,2,sd,0,no emotion,qw,b,no emotion,no emotion,9,1,0,0
86,B,Ok .,0,3,b,1,no emotion,sd,qo,no emotion,no emotion,0,22,0,0
86,B,How about we get a cat or a ferret ?,0,3,qo,22,no emotion,b,sv,no emotion,no emotion,1,2,0,0
86,A,"We're planning on having children soon , I don't think those animals are a good idea with a baby in the house .",0,4,sv,2,no emotion,qo,ba,no emotion,no emotion,22,5,0,0
86,B,Fine !,0,3,ba,5,no emotion,sv,oo_co_cc,no emotion,no emotion,2,33,0,0
86,B,Let's get a bird then !,0,3,oo_co_cc,33,no emotion,ba,sd,no emotion,no emotion,5,0,0,0
86,B,We can keep it in its cage and teach it to talk !,0,3,sd,0,no emotion,oo_co_cc,sd,no emotion,no emotion,33,0,0,0
86,B,A parrot would be awesome !,0,3,sd,0,no emotion,sd,oo_co_cc,no emotion,no emotion,0,33,0,0
86,A,"I'll tell you what , I can get you some hamsters and we'll take it from there .",0,4,oo_co_cc,33,no emotion,sd,ba,no emotion,happiness,0,5,0,4
86,B,Yay !,4,1,ba,5,happiness,oo_co_cc,qy^d,no emotion,no emotion,33,13,0,0
101,A,Am I ever hungry ?,0,2,qy^d,13,no emotion,ba,qw,happiness,no emotion,5,9,4,0
101,A,When will supper be ready ?,0,2,qw,9,no emotion,qy^d,sd,no emotion,no emotion,13,0,0,0
101,B,It's almost ready .,0,3,sd,0,no emotion,qw,qy,no emotion,no emotion,9,6,0,0
101,B,Can you set the table ?,0,3,qy,6,no emotion,sd,bk,no emotion,no emotion,0,11,0,0
101,A,All right .,0,4,bk,11,no emotion,qy,qy,no emotion,no emotion,6,6,0,0
101,B,Want to taste this dish ?,0,2,qy,6,no emotion,bk,ny,no emotion,happiness,11,7,0,4
101,A,Yeah .,4,1,ny,7,happiness,qy,sv,no emotion,happiness,6,2,0,4
101,A,"Oh , it's delicious !",4,1,sv,2,happiness,ny,bh,happiness,surprise,7,14,4,6
101,B,Really ?,6,2,bh,14,surprise,sv,na,happiness,surprise,2,18,4,6
101,A,Definitely .,6,1,na,18,surprise,bh,ba,surprise,surprise,14,5,6,6
101,A,It's a wonderful meal .,6,1,ba,5,surprise,na,ft,surprise,surprise,18,40,6,6
101,A,"Thank you , Honey .",6,1,ft,40,surprise,ba,ad,surprise,happiness,5,19,6,4
101,B,"If you like to help me do the dishes , I'll be more dreadful .",4,3,ad,19,happiness,ft,sd,surprise,no emotion,40,0,6,0
101,A,"I wish I could , but I won't .",0,4,sd,0,no emotion,ad,fp,happiness,no emotion,19,29,4,0
105,A,"Hi , Sam .",0,2,fp,29,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
105,A,I want to buy a pet .,0,2,sd,0,no emotion,fp,qy,no emotion,no emotion,29,6,0,0
105,A,Do you have any ideas ?,0,2,qy,6,no emotion,sd,ad,no emotion,no emotion,0,19,0,0
105,B,You really should go to Rachel's pet store .,0,1,ad,19,no emotion,qy,br,no emotion,surprise,6,27,0,6
105,A,why ?,6,2,br,27,surprise,ad,qy,no emotion,surprise,19,6,0,6
105,A,anything special there ?,6,2,qy,6,surprise,br,sd,surprise,no emotion,27,0,6,0
105,B,it's more than special .,0,1,sd,0,no emotion,qy,sd,surprise,no emotion,6,0,6,0
105,B,You can find as many kinds of animals as you can put a name to and more .,0,1,sd,0,no emotion,sd,bh,no emotion,surprise,0,14,0,6
105,A,"Oh , really ?",6,2,bh,14,surprise,sd,qy,no emotion,surprise,0,6,0,6
105,A,are there any snakes ?,6,2,qy,6,surprise,bh,^g,surprise,happiness,14,37,6,4
105,B,snakes ?,4,1,^g,37,happiness,qy,na,surprise,happiness,6,18,6,4
105,B,there are even rodents and monkeys !,4,1,na,18,happiness,^g,sd,happiness,happiness,37,0,4,4
105,B,it's a world of exotic pets .,4,1,sd,0,happiness,na,ba,happiness,happiness,18,5,4,4
105,A,that's terrific .,4,1,ba,5,happiness,sd,sd,happiness,happiness,0,0,4,4
105,A,I can't wait to check it out .,4,1,sd,0,happiness,ba,"fo_o_fw_""_by_bc",happiness,no emotion,5,17,4,0
105,B,Hang on .,0,2,"fo_o_fw_""_by_bc",17,no emotion,sd,qy^d,happiness,no emotion,0,13,4,0
105,B,are you sure you want to keep a non-traditional pet ?,0,2,qy^d,13,no emotion,"fo_o_fw_""_by_bc",br,no emotion,happiness,17,27,0,4
105,A,why not ?,4,1,br,27,happiness,qy^d,sd,no emotion,happiness,13,0,0,4
105,A,it's so cool .,4,1,sd,0,happiness,br,sd,happiness,no emotion,27,0,4,0
105,B,but it will pose a risk to your health .,0,1,sd,0,no emotion,sd,br,happiness,surprise,0,27,4,6
105,A,pardon ?,6,2,br,27,surprise,sd,sd,no emotion,no emotion,0,0,0,0
105,B,"i mean , most reptiles carry some harmful bacteria .",0,1,sd,0,no emotion,br,sd,surprise,no emotion,27,0,6,0
105,B,they are likely to cause immune system problems .,0,1,sd,0,no emotion,sd,sv,no emotion,no emotion,0,2,0,0
105,A,"well , I didn't realize that .",0,1,sv,2,no emotion,sd,sv,no emotion,no emotion,0,2,0,0
105,B,"I don't believe it's a good choice to keep those pets , especially for families with young children .",0,3,sv,2,no emotion,sv,sd,no emotion,no emotion,2,0,0,0
105,A,"oh , I should have thought of my brother's baby girl .",0,4,sd,0,no emotion,sv,sd,no emotion,no emotion,2,0,0,0
105,A,Maybe I'll just have a dog instead of an exotic pet .,0,4,sd,0,no emotion,sd,ba,no emotion,happiness,0,5,0,4
105,B,"yes , good luck , Maria .",4,1,ba,5,happiness,sd,fp,no emotion,no emotion,0,29,0,0
110,A,Hi there !,0,3,fp,29,no emotion,ba,sd,happiness,no emotion,5,0,4,0
110,A,I am looking for a new car .,0,3,sd,0,no emotion,fp,sd,no emotion,no emotion,29,0,0,0
110,A,I have this old Ford Pinto that I would like to trade in .,0,3,sd,0,no emotion,sd,b,no emotion,no emotion,0,1,0,0
110,B,I see .,0,3,b,1,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
110,B,You are in luck this month because all of our models are on sale !,0,3,sd,0,no emotion,b,sd,no emotion,no emotion,1,0,0,0
110,B,it is a perfect time to buy a new car since it's the end of the year .,0,3,sd,0,no emotion,sd,ba,no emotion,happiness,0,5,0,4
110,A,Perfect !,4,4,ba,5,happiness,sd,sv,no emotion,happiness,0,2,0,4
110,A,I like this one .,4,4,sv,2,happiness,ba,sd,happiness,no emotion,5,0,4,0
110,B,That is the Ford Focus .,0,1,sd,0,no emotion,sv,sd,happiness,no emotion,2,0,4,0
110,B,A very light but powerful vehicle .,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
110,B,"It comes with dual side airbags , power steering and power windows , tinted windows and your choice of either automatic or manual transmission .",0,1,sd,0,no emotion,sd,ba,no emotion,happiness,0,5,0,4
110,A,Sounds like a good car !,4,2,ba,5,happiness,sd,qw,no emotion,happiness,0,9,0,4
110,A,How many miles to the gallon ?,4,2,qw,9,happiness,ba,sd,happiness,no emotion,5,0,4,0
110,B,It is a very fuel efficient vehicle giving you about 34 miles in the city and 40 on the highway .,0,1,sd,0,no emotion,qw,sd,happiness,happiness,9,0,4,4
110,A,That is really convenient .,4,2,sd,0,happiness,sd,sd,no emotion,happiness,0,0,0,4
110,A,Especially now that fuel prices are so high !,4,2,sd,0,happiness,sd,qw,happiness,happiness,0,9,4,4
110,A,What's under the hood ?,4,2,qw,9,happiness,sd,sd,happiness,happiness,0,0,4,4
110,B,"A very powerful 2.5- liter turbocharged engine , Trust me , this car is fast !",4,1,sd,0,happiness,qw,t1,happiness,no emotion,9,35,4,0
110,A,Now for the most difficult question .,0,2,t1,35,no emotion,sd,qw,happiness,no emotion,0,9,4,0
110,A,What is the price tag for this lovely vehicle ?,0,2,qw,9,no emotion,t1,sd,no emotion,no emotion,35,0,0,0
110,B,Very affordable mam .,0,1,sd,0,no emotion,qw,sd,no emotion,no emotion,9,0,0,0
110,B,You can take it out of this lot today with 0 % down payment and no interest for the first year !,0,1,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
110,B,You can test drive it now and we can sign the papers when we get back .,0,1,sd,0,no emotion,sd,ba,no emotion,happiness,0,5,0,4
110,A,Great !,4,3,ba,5,happiness,sd,oo_co_cc,no emotion,happiness,0,33,0,4
110,A,Let's do it !,4,3,oo_co_cc,33,happiness,ba,oo_co_cc,happiness,no emotion,5,33,4,0
118,A,"I'm hungry , let's go grab a bite to eat .",0,3,oo_co_cc,33,no emotion,oo_co_cc,na,happiness,no emotion,33,18,4,0
118,B,Yeah me too .,0,3,na,18,no emotion,oo_co_cc,%,no emotion,no emotion,33,3,0,0
118,B,Oh !,0,3,%,3,no emotion,na,qy,no emotion,no emotion,18,6,0,0
118,B,Can we stop at the shop really fast ?,0,3,qy,6,no emotion,%,sd,no emotion,no emotion,3,0,0,0
118,B,I lost my makeup bag at the airport and I want to pick up a few things .,0,3,sd,0,no emotion,qy,qy,no emotion,no emotion,6,6,0,0
118,A,Will you take long ?,0,2,qy,6,no emotion,sd,nn,no emotion,no emotion,0,10,0,0
118,B,No !,0,1,nn,10,no emotion,qy,sd,no emotion,no emotion,6,0,0,0
118,B,Five minutes I promise !,0,1,sd,0,no emotion,nn,ad,no emotion,anger,10,19,0,1
118,A,Come on !,1,1,ad,19,anger,sd,sd,no emotion,anger,0,0,0,1
118,A,We have been here for almost an hour !,1,1,sd,0,anger,ad,sd,anger,anger,19,0,1,1
118,A,I thought you said you were only going to get a few things !,1,1,sd,0,anger,sd,qh,anger,anger,0,23,1,1
118,A,How long does it take you to pick out a lipstick and some nail polish !,1,1,qh,23,anger,sd,qh,anger,no emotion,0,23,1,0
118,B,Are you crazy ?,0,2,qh,23,no emotion,qh,sd,anger,no emotion,23,0,1,0
118,B,You have no idea what you are talking about !,0,2,sd,0,no emotion,qh,sd,no emotion,no emotion,23,0,0,0
118,B,"Just for my eyes I have to get eye-liner , an eyelash curler , eye shadow , an eyebrow pencil and mascara .",0,2,sd,0,no emotion,sd,sd,no emotion,no emotion,0,0,0,0
118,B,"Then I need to get foundation , liquid foundation .",0,2,sd,0,no emotion,sd,ba,no emotion,anger,0,5,0,1
